Closed Quarter,Closed Month,Closed Week,Closed Day,Case Id,Analyst,Category,Language,Start date,Blocked,Cust Time Hours,Agent Time Hours,Consult,Closing Channel,Opening Channel,Complexity,Incoming Messages,Vendor Team,Product,Total Resolution Time x Blocked By,Num Outgoing Emails,Total Resolution Time Incl Weekends Hours,Total time to Assign in Hours,Time for First Response in Hours,Consult Total Resolution Time,Total Resolution Time WITHOUT WEEKENDS,Manual Followup Count,OverallSat,Case Region,PL,SM,Start (IST) Time,Day,Hour,Agentime/Itr.
2018-04-01,2018-06-01,2018-06-10,2018-06-15,2-191422058,vereddy,Account Management,en,2018-04-02,FALSE,"1,150.44",623.45,FALSE,EMAIL,EMAIL,Easy,6,HCL HYD PLAT,Platforms,"1,774.33",8,"1,774.33",0.00,4.36,0.00,"1,294.33",3,,EMEA,vereddy,sgangadhari,2018-04-02 20:01:26,Mon,20,77.93
2018-04-01,2018-04-01,2018-04-01,2018-04-03,1-423721013,sparambath,Reporting,en,2018-02-22,FALSE,603.40,246.00,TRUE,EMAIL,EMAIL,Medium,24,HCL HYD PLAT,Platforms,957.40,30,957.40,2.91,4.45,108.00,670.40,9,,NA,djavvaji,vipinnair,2018-02-23 1:43:32,Fri,1,8.20
2018-04-01,2018-05-01,2018-05-20,2018-05-21,9-454321941,mshabbir,Policy,en,2018-04-16,FALSE,558.22,269.56,FALSE,EMAIL,EMAIL,Easy,7,HCL HYD MON,Monetization,827.78,7,827.78,0.84,1.44,0.00,587.78,2,,NA,mshabbir,mshabbir,2018-04-17 4:00:30,Tue,4,38.51
2018-04-01,2018-05-01,2018-04-29,2018-05-01,1-405621701,pampara,Reporting,en,2018-03-29,FALSE,597.59,169.74,TRUE,EMAIL,EMAIL,Medium,13,HCL HYD PLAT,Platforms,802.95,24,802.95,0.12,0.33,35.56,562.95,7,,NA,pampara,vipinnair,2018-03-29 20:08:31,Thu,20,7.07
2018-04-01,2018-05-01,2018-04-29,2018-05-02,9-168621587,roshnim,Programmatic Direct (Deals),en,2018-04-02,FALSE,637.01,80.93,FALSE,EMAIL,EMAIL,Medium,18,HCL HYD PLAT,Platforms,717.95,11,717.95,16.77,22.96,0.00,525.95,1,,NA,pampara,vipinnair,2018-04-03 6:14:01,Tue,6,7.36
2018-04-01,2018-06-01,2018-06-03,2018-06-05,2-928522133,turagavv,Policy,en,2018-05-08,FALSE,617.86,51.76,FALSE,EMAIL,EMAIL,Medium,8,HCL HYD MON,Monetization,669.63,14,669.63,1.19,22.49,0.00,477.63,4,,NA,arghyamitra,mshabbir,2018-05-09 1:43:38,Wed,1,3.70
2018-04-01,2018-04-01,2018-04-01,2018-04-03,6-321621412,reeturajput,Video,en,2018-03-06,FALSE,352.53,102.09,TRUE,EMAIL,EMAIL,Medium,2,HCL HYD PLAT,Platforms,649.36,9,649.36,7.26,13.86,194.73,458.36,2,,EMEA,vereddy,sgangadhari,2018-03-07 11:16:21,Wed,11,11.34
2018-04-01,2018-04-01,2018-04-15,2018-04-16,5-658121330,tpadala,Formats & Creative Trafficking,en,2018-03-23,FALSE,557.55,24.48,FALSE,EMAIL,EMAIL,Easy,3,HCL HYD PLAT,Consult - Platforms,582.03,2,582.03,1.56,71.13,0.00,390.03,0,,EMEA,vereddy,sgangadhari,2018-03-23 23:01:54,Fri,23,12.24
2018-04-01,2018-05-01,2018-05-27,2018-05-27,8-141522028,pyasheng,Publisher Controls,ko,2018-05-03,FALSE,526.65,35.51,TRUE,EMAIL,EMAIL,null,8,HCL CHN PLAT,Platforms,579.62,14,579.62,0.58,7.47,17.45,388.68,4,,CHINA,nkone,saikarthik,2018-05-04 7:49:21,Fri,7,2.54
2018-04-01,2018-06-01,2018-06-24,2018-06-28,7-875322399,mbhambhu,Administration,en,2018-06-04,FALSE,454.69,124.31,FALSE,EMAIL,EMAIL,Medium,24,HCL HYD PLAT,Platforms,579.01,23,579.01,0.20,6.36,0.00,435.01,4,,NA,lucyk,sbalasundaram,2018-06-04 22:53:13,Mon,22,5.40
2018-04-01,2018-04-01,2018-04-15,2018-04-18,2-720621700,rbastian,Video,en,2018-03-26,FALSE,220.17,199.32,TRUE,EMAIL,EMAIL,Easy,15,HCL HYD PLAT,Platforms,558.74,22,558.74,0.00,28.16,139.01,414.74,7,,EMEA,mvallamdas,sgangadhari,2018-03-26 14:25:52,Mon,14,9.06
2018-04-01,2018-05-01,2018-04-29,2018-05-03,6-256321618,pyasheng,Inventory Management,ko,2018-04-09,FALSE,407.54,147.53,FALSE,EMAIL,EMAIL,null,15,HCL CHN PLAT,Platforms,555.08,16,555.08,0.54,4.48,0.00,411.08,2,100,CHINA,nkone,saikarthik,2018-04-10 10:15:40,Tue,10,9.22
2018-04-01,2018-05-01,2018-05-06,2018-05-09,4-624221870,pampara,Formats & Creative Trafficking,en,2018-04-16,FALSE,528.32,23.26,FALSE,EMAIL,EMAIL,Medium,2,HCL HYD PLAT,Platforms,551.58,9,551.58,0.32,1.74,0.00,407.58,2,,NA,pampara,vipinnair,2018-04-17 3:40:10,Tue,3,2.58
2018-04-01,2018-05-01,2018-05-06,2018-05-10,3-449121990,anathak,Account Management,en,2018-04-16,TRUE,484.77,64.21,FALSE,EMAIL,EMAIL,Easy,23,HCL HYD MON,Consult - Monetization,548.99,12,576.99,0.14,4.38,0.00,432.99,0,,NA,arghyamitra,mshabbir,2018-04-16 19:54:35,Mon,19,5.35
2018-04-01,2018-05-01,2018-05-20,2018-05-23,0-107222037,bpullivarthi,Tagging,en,2018-04-30,FALSE,260.73,237.93,TRUE,EMAIL,EMAIL,Medium,13,HCL HYD PLAT,Platforms,548.87,19,548.87,11.78,16.49,50.20,404.87,5,,NA,nayaka,sbalasundaram,2018-05-01 4:33:36,Tue,4,12.52
2018-04-01,2018-04-01,2018-04-08,2018-04-13,6-742821405,nayaka,Reporting,en,2018-03-21,FALSE,446.86,98.86,FALSE,EMAIL,EMAIL,Easy,43,HCL HYD PLAT,Platforms,545.79,13,545.79,0.00,1.46,0.00,401.79,1,100,NA,nayaka,sbalasundaram,2018-03-22 1:12:58,Thu,1,7.60
2018-04-01,2018-06-01,2018-06-10,2018-06-12,9-959222185,ahujanikhil,Reporting,en,2018-05-21,FALSE,473.77,44.97,TRUE,EMAIL,EMAIL,Medium,10,HCL HYD PLAT,Platforms,527.64,7,527.64,0.21,2.38,8.89,383.64,2,,NA,lucyk,sbalasundaram,2018-05-22 3:51:05,Tue,3,6.42
2018-04-01,2018-06-01,2018-06-10,2018-06-14,6-548822388,wapeng,Account Management,zh-Hans,2018-05-23,FALSE,0.00,511.17,FALSE,EMAIL,EMAIL,null,1,HCL CHN PLAT,Platforms,511.17,1,511.17,509.73,511.17,0.00,367.17,0,,CHINA,nkone,saikarthik,2018-05-24 8:49:56,Thu,8,511.17
2018-04-01,2018-04-01,2018-04-08,2018-04-12,9-496421525,vinjamuriki,Audience,en,2018-03-22,FALSE,276.82,226.97,FALSE,EMAIL,EMAIL,Easy,12,HCL HYD PLAT,Platforms,503.79,6,503.79,0.06,5.38,0.00,359.79,1,,EMEA,enagabushanam,sgangadhari,2018-03-22 20:10:55,Thu,20,37.83
2018-04-01,2018-06-01,2018-06-17,2018-06-18,6-403122142,tnandi,Order & Line Item Delivery (Adserving),en,2018-05-28,FALSE,306.20,193.14,TRUE,EMAIL,EMAIL,Medium,11,HCL HYD PLAT,Platforms,502.38,13,502.38,0.46,7.07,3.03,358.38,2,,EMEA,vereddy,sgangadhari,2018-05-28 15:19:53,Mon,15,14.86
2018-04-01,2018-05-01,2018-05-27,2018-05-28,3-370821893,cborchetia,Reporting,en,2018-05-07,FALSE,467.06,22.48,TRUE,EMAIL,EMAIL,Easy,7,HCL HYD PLAT,Platforms,501.41,14,501.41,0.00,2.45,11.87,357.41,5,,NA,nayaka,sbalasundaram,2018-05-08 0:54:42,Tue,0,1.61
2018-04-01,2018-04-01,2018-04-15,2018-04-16,6-042821488,pbharathi,Reporting,en,2018-03-26,FALSE,423.56,66.11,FALSE,EMAIL,EMAIL,Easy,6,HCL HYD PLAT,Platforms,500.43,14,500.43,0.00,12.49,0.00,356.43,4,100,EMEA,mvallamdas,sgangadhari,2018-03-26 21:18:11,Mon,21,4.72
2018-04-01,2018-04-01,2018-04-29,2018-04-30,5-264321467,ntomar,Inventory Management,en,2018-04-09,FALSE,346.42,97.32,TRUE,EMAIL,EMAIL,Medium,6,HCL HYD MON,Monetization,489.93,14,489.93,2.15,7.30,46.19,345.93,3,,EMEA,nitikas,ashwint,2018-04-10 12:00:21,Tue,12,6.95
2018-04-01,2018-06-01,2018-06-03,2018-06-05,6-503022296,soundaryae,Policy,en,2018-05-16,FALSE,468.61,19.75,FALSE,EMAIL,EMAIL,Medium,7,HCL HYD MON,Monetization,488.36,12,488.36,0.84,4.69,0.00,344.36,4,,NA,vbandikalla,mshabbir,2018-05-16 20:30:49,Wed,20,1.65
2018-04-01,2018-04-01,2018-04-22,2018-04-24,8-089421765,sparambath,Programmatic Direct (Deals),en,2018-04-04,FALSE,177.10,130.22,TRUE,EMAIL,EMAIL,Medium,6,HCL HYD PLAT,Platforms,488.16,11,488.16,1.16,4.37,180.76,344.16,2,,NA,djavvaji,vipinnair,2018-04-04 21:41:36,Wed,21,11.84
2018-04-01,2018-05-01,2018-05-06,2018-05-08,8-014621925,roshnim,Administration,en,2018-04-18,FALSE,337.72,81.12,TRUE,EMAIL,EMAIL,Medium,5,HCL HYD PLAT,Platforms,483.92,11,483.92,0.65,1.71,65.07,339.92,3,,NA,pampara,vipinnair,2018-04-19 3:49:16,Thu,3,7.37
2018-04-01,2018-05-01,2018-05-06,2018-05-09,5-046721972,miizuka,Formats & Creative Trafficking,ja,2018-04-18,FALSE,456.64,24.94,FALSE,EMAIL,EMAIL,Medium,4,HCL JAP PLAT,Platforms,481.58,10,481.58,0.22,2.67,0.00,337.58,3,,JAPAN,nkone,saikarthik,2018-04-19 11:48:44,Thu,11,2.49
2018-04-01,2018-04-01,2018-04-22,2018-04-23,8-732621750,motokit,Policy,ja,2018-04-03,FALSE,473.60,6.82,FALSE,EMAIL,EMAIL,Easy,3,HCL JAP PLAT,Monetization,480.43,3,480.43,1.30,6.53,0.00,336.43,1,,JAPAN,nkone,saikarthik,2018-04-04 9:34:57,Wed,9,2.27
2018-04-01,2018-06-01,2018-06-03,2018-06-05,3-693621973,wapeng,Formats & Creative Trafficking,zh-Hant,2018-04-27,TRUE,478.07,2.27,FALSE,EMAIL,EMAIL,null,0,HCL CHN PLAT,Monetization,480.34,6,954.43,1.30,2.27,0.00,666.43,1,,CHINA,nkone,saikarthik,2018-04-27 13:40:15,Fri,13,0.38
2018-04-01,2018-04-01,2018-04-01,2018-04-02,3-353721285,hguthikonda,Reporting,en,2018-03-13,FALSE,391.00,47.72,TRUE,EMAIL,EMAIL,Hard,8,HCL HYD MON,Monetization,469.51,19,469.51,7.90,11.64,30.79,325.51,5,,EMEA,malavikas,ashwint,2018-03-14 0:08:11,Wed,0,2.51
2018-04-01,2018-04-01,2018-04-22,2018-04-23,1-366421549,djavvaji,Video,en,2018-04-04,FALSE,374.23,94.75,FALSE,EMAIL,EMAIL,Easy,5,HCL HYD PLAT,Platforms,468.98,10,468.98,0.20,3.15,0.00,324.98,3,,NA,djavvaji,vipinnair,2018-04-04 19:16:15,Wed,19,9.47
